user_id,monthly_electricity_kwh,fuel_type,fuel_consumption_liters,monthly_travel_km,public_transport_ratio,lpg_cylinders_per_month,induction_usage_hours,solar_water_heater,household_size,online_orders_per_month,waste_recycling,monthly_co2_emission_kg
U0001,222,Diesel,45.811009476789216,621.5024824962034,0.0399899663272011,0.905173781162454,11.674172222780436,1,3,5,1,347.1157842034876
U0002,311,Diesel,10.423978313183044,106.16300087967946,0.2099098641033556,0.8398470688867811,5.933313264272309,1,4,14,1,320.37426650883214
U0003,294,Petrol,38.0057735948788,641.5193391768566,0.2721230154351119,0.8955491771664974,5.265299223197331,1,1,11,1,364.1980033060688
U0004,211,Petrol,12.063311266913104,208.38843308217844,0.1035119926400067,1.1287745127893802,11.23422152178822,1,6,5,1,248.23879192154868
U0005,429,Public,0.0,231.0,0.9684482051282948,1.0576899766921937,23.43748470046233,0,6,6,0,401.7613100045818
U0006,399,Petrol,18.45545349848576,302.99380758431244,0.0298202574719083,1.485575630260569,20.444895385933147,0,4,7,0,468.19344060411146
U0007,258,Public,0.0,290.0,0.9778902635540048,1.116184728052139,23.29919351087561,1,1,7,0,255.61259036467723
U0008,181,Public,0.0,64.0,0.8416644775485848,0.5315536705321319,19.2648957444599,0,1,4,0,164.33590504874132
U0009,374,Diesel,16.65344924870988,225.0662375825175,0.0806876809341584,1.3853399552408714,14.507404463642237,1,5,3,1,398.97953479078114
U0010,290,Petrol,51.687095982382274,880.9415654604813,0.2497416192535173,0.7251970544214854,7.109885196605412,0,4,11,1,358.8892093781609
U0011,405,Petrol,31.377870284618496,541.4134645199883,0.1088528997538541,1.112459132595499,5.010407539906316,1,5,8,1,454.5260038141348
U0012,437,Diesel,66.57458223475115,837.8826237581391,0.2075162486973464,1.1733208547846958,12.27259204758588,0,1,9,1,549.77580315433
U0013,414,Public,0.0,110.0,0.7800343042825855,1.474276451415918,13.220740266364626,0,5,0,1,408.6574642602815
U0014,337,Diesel,55.697176919723056,662.8576918413358,0.2912865394447438,0.8045614459911786,17.64611661187159,0,6,5,1,505.03525904512367
U0015,359,Public,0.0,288.0,0.8772678829564725,1.1453207980265108,5.331756578557123,1,3,14,1,324.63509807805053
U0016,247,Diesel,54.11296715444633,631.6375575117174,0.2165791895310263,1.1653628392795905,9.571000435945994,1,2,8,1,406.27412517827577
